City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,75.0,few clouds,32.67,-17.1,
1,Arraial Do Cabo,BR,69.8,mist,-22.97,-42.03,
2,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,
3,Purepero,MX,60.8,heavy intensity rain,19.92,-102.02,
4,Busselton,AU,64.0,light rain,-33.65,115.33,
6,Beloha,MG,76.93,clear sky,-25.17,45.05,
7,Port Macquarie,AU,61.0,clear sky,-31.43,152.92,
8,Xucheng,CN,73.4,light rain,20.35,110.13,
9,Rikitea,PF,74.82,few clouds,-23.12,-134.97,
10,Goianapolis,BR,77.0,light rain,-16.51,-49.02,
14,Bowen,AU,69.8,clear sky,-20.02,148.23,
15,Imbituba,BR,71.6,light rain,-28.24,-48.67,
18,Hermanus,ZA,69.01,clear sky,-34.42,19.23,
21,Saint-Philippe,RE,71.6,overcast clouds,-21.36,55.77,
27,Victoria,HK,73.99,light rain,22.29,114.16,
29,Airai,TL,61.88,clear sky,-8.93,125.41,
30,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,
31,Kodinar,IN,80.71,clear sky,20.79,70.7,
36,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,
37,Constitucion,CL,66.24,clear sky,-35.33,-72.42,
38,Butaritari,KI,81.03,broken clouds,3.07,172.79,
39,Carnarvon,AU,69.8,overcast clouds,-24.87,113.63,
40,Kununurra,AU,82.4,scattered clouds,-15.77,128.73,
42,Yulara,AU,75.2,broken clouds,-25.24,130.99,
45,Bambous Virieux,MU,69.8,shower rain,-20.34,57.76,
47,Poum,NC,77.32,light rain,-20.23,164.02,
48,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,
50,Namatanai,PG,80.2,overcast clouds,-3.67,152.43,
51,Coihaique,CL,60.8,clear sky,-45.58,-72.07,
52,Puerto Ayacucho,VE,79.63,light rain,5.66,-67.62,
53,Geraldton,AU,68.0,scattered clouds,-28.77,114.6,
54,Petatlan,MX,75.2,scattered clouds,17.52,-101.27,
58,Sassandra,CI,83.08,scattered clouds,4.95,-6.08,
59,Atuona,PF,78.1,few clouds,-9.8,-139.03,
61,Port Elizabeth,ZA,69.8,clear sky,-33.92,25.57,
63,East London,ZA,68.0,few clouds,-33.02,27.91,
64,Kavieng,PG,83.1,overcast clouds,-2.57,150.8,
65,Catuday,PH,80.17,overcast clouds,16.29,119.81,
66,Pathalgaon,IN,69.78,clear sky,22.57,83.47,
67,Vaini,TO,73.4,broken clouds,-21.2,-175.2,
68,Ballina,AU,64.0,clear sky,-28.87,153.57,
70,Bam,IR,58.41,clear sky,29.11,58.36,
71,Rocha,UY,66.07,clear sky,-34.48,-54.33,
76,Gizo,SB,82.17,overcast clouds,-8.1,156.84,
78,Newport,GB,55.99,scattered clouds,51.59,-3.0,
80,Madimba,TZ,77.0,broken clouds,-10.4,40.33,
82,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,
85,Nicolas Bravo,MX,77.0,overcast clouds,18.45,-88.92,
86,Cidreira,BR,67.57,overcast clouds,-30.18,-50.21,
87,Minbu,MM,78.71,broken clouds,20.18,94.88,
88,Esperance,AU,71.6,scattered clouds,-33.87,121.9,
91,Lebu,CL,61.61,few clouds,-37.62,-73.65,
98,Kingsland,US,72.0,broken clouds,30.8,-81.69,
100,Castro,BR,60.96,overcast clouds,-24.79,-50.01,
101,Buala,SB,79.88,broken clouds,-8.14,159.59,
102,Ribeira Grande,PT,71.6,broken clouds,38.52,-28.7,
104,Mahebourg,MU,69.8,shower rain,-20.41,57.7,
107,Hithadhoo,MV,83.66,light rain,-0.6,73.08,
108,Kapaa,US,69.8,clear sky,22.08,-159.32,
111,Luwuk,ID,78.28,overcast clouds,-0.95,122.79,
115,Nabire,ID,77.76,moderate rain,-3.37,135.48,
116,Mar Del Plata,AR,68.0,clear sky,-38.0,-57.56,
119,Sao Jose Da Coroa Grande,BR,83.28,overcast clouds,-8.9,-35.15,
124,Zhanaozen,KZ,59.38,overcast clouds,43.3,52.8,
128,Shaowu,CN,62.06,light rain,27.34,117.48,
130,Guerrero Negro,MX,67.84,clear sky,27.98,-114.06,
134,Tautira,PF,73.4,few clouds,-17.73,-149.15,
135,Borazjan,IR,84.2,clear sky,29.27,51.22,
136,Saint-Pierre,RE,71.6,overcast clouds,-21.34,55.48,
138,Hilo,US,73.4,broken clouds,19.73,-155.09,
145,Esfarayen,IR,64.4,clear sky,37.08,57.51,
148,Bucerias,MX,80.01,clear sky,20.75,-105.33,
151,Peniche,PT,73.99,broken clouds,39.36,-9.38,
155,Chemax,MX,78.17,moderate rain,20.65,-87.93,
156,Ahipara,NZ,62.53,scattered clouds,-35.17,173.17,
157,Tateyama,JP,59.0,few clouds,34.98,139.87,
158,Lucapa,AO,82.24,overcast clouds,-8.42,20.74,
159,Rawson,AR,74.43,clear sky,-43.3,-65.1,
160,Champerico,GT,78.8,few clouds,14.3,-91.92,
161,Lagoa,PT,68.67,overcast clouds,39.05,-27.98,
162,Gat,IL,78.01,scattered clouds,31.61,34.76,
164,Chuy,UY,63.41,scattered clouds,-33.7,-53.46,
165,Cockburn Town,TC,82.89,overcast clouds,21.46,-71.14,
166,Nuevo Progreso,MX,66.99,clear sky,23.17,-97.95,
168,Cape Town,ZA,69.8,clear sky,-33.93,18.42,
172,Celestun,MX,78.04,overcast clouds,20.87,-90.4,
176,Saquena,PE,83.62,overcast clouds,-4.67,-73.52,
182,Chinchani,IN,79.57,clear sky,19.87,72.7,
183,Kapchorwa,UG,64.33,overcast clouds,1.4,34.45,
184,Susangerd,IR,78.8,clear sky,31.56,48.18,
185,Jucuaran,SV,69.15,overcast clouds,13.25,-88.25,
186,Gibgos,PH,81.97,heavy intensity rain,13.86,123.77,
187,Harper,LR,81.9,light rain,4.38,-7.72,
188,Puerto Ayora,EC,72.0,overcast clouds,-0.74,-90.35,
189,Bengkulu,ID,77.65,light rain,-3.8,102.27,
191,Georgetown,MY,82.4,moderate rain,5.41,100.34,
192,Angoram,PG,74.7,overcast clouds,-4.06,144.07,
197,Jatiroto,ID,75.18,light rain,-7.88,111.12,
198,Rio Gallegos,AR,59.0,clear sky,-51.62,-69.22,
199,Cabo San Lucas,MX,66.2,few clouds,22.89,-109.91,
200,Sao Filipe,CV,82.2,broken clouds,14.9,-24.5,
206,Honiara,SB,75.2,scattered clouds,-9.43,159.95,
209,Maryborough,AU,75.99,clear sky,-25.53,152.7,
211,Kuah,MY,84.2,few clouds,6.33,99.84,
