City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ponta Do Sol,PT,32.67,-17.1,75.0,73,20,12.75,few clouds
1,Arraial Do Cabo,BR,-22.97,-42.03,69.8,94,90,12.75,mist
2,Avarua,CK,-21.21,-159.78,73.4,78,100,14.99,overcast clouds
3,Purepero,MX,19.92,-102.02,60.8,87,75,3.13,heavy intensity rain
4,Busselton,AU,-33.65,115.33,64.0,65,100,11.36,light rain
5,Qaanaaq,GL,77.48,-69.36,12.97,87,99,7.18,overcast clouds
6,Beloha,MG,-25.17,45.05,76.93,53,0,14.03,clear sky
7,Port Macquarie,AU,-31.43,152.92,61.0,81,3,6.93,clear sky
8,Xucheng,CN,20.35,110.13,73.4,83,0,4.47,light rain
9,Rikitea,PF,-23.12,-134.97,74.82,71,12,7.49,few clouds
10,Goianapolis,BR,-16.51,-49.02,77.0,78,90,6.93,light rain
11,Yellowknife,CA,62.46,-114.35,19.4,85,90,16.11,light snow
12,Kodiak,US,57.79,-152.41,32.0,90,1,11.41,clear sky
13,Thompson,CA,55.74,-97.86,14.0,85,90,17.22,light snow
14,Bowen,AU,-20.02,148.23,69.8,88,0,3.36,clear sky
15,Imbituba,BR,-28.24,-48.67,71.6,56,75,5.82,light rain
16,Tarut,SA,26.57,50.04,86.0,35,0,11.41,clear sky
17,Sorland,NO,67.67,12.69,48.06,78,0,22.15,clear sky
18,Hermanus,ZA,-34.42,19.23,69.01,53,0,5.99,clear sky
19,Douentza,ML,15.0,-2.95,97.68,9,0,8.97,clear sky
20,Dikson,RU,73.51,80.55,15.98,96,100,18.54,overcast clouds
21,Saint-Philippe,RE,-21.36,55.77,71.6,53,90,8.05,overcast clouds
22,Sangar,RU,63.92,127.47,-14.13,89,0,3.36,clear sky
23,Moose Factory,CA,51.26,-80.61,24.8,73,90,11.41,overcast clouds
24,Ankpa,NG,7.37,7.63,89.31,46,48,6.31,scattered clouds
25,Tahoua,NE,14.89,5.27,96.8,11,0,2.24,clear sky
26,Klaksvik,FO,62.23,-6.59,46.4,81,100,29.97,moderate rain
27,Victoria,HK,22.29,114.16,73.99,76,0,1.01,light rain
28,Ushuaia,AR,-54.8,-68.3,51.8,62,40,3.36,scattered clouds
29,Airai,TL,-8.93,125.41,61.88,96,10,0.96,clear sky
30,Nouadhibou,MR,20.93,-17.03,77.0,65,0,13.87,clear sky
31,Kodinar,IN,20.79,70.7,80.71,54,0,3.51,clear sky
32,Saint George,US,37.1,-113.58,42.8,35,1,2.04,clear sky
33,Albany,US,42.6,-73.97,41.0,100,20,3.36,fog
34,Vestmannaeyjar,IS,63.44,-20.27,44.6,81,20,14.99,few clouds
35,Sloboda,RU,51.14,40.3,52.92,96,100,9.93,heavy intensity rain
36,Port Alfred,ZA,-33.59,26.89,66.61,69,79,16.2,broken clouds
37,Constitucion,CL,-35.33,-72.42,66.24,59,0,3.42,clear sky
38,Butaritari,KI,3.07,172.79,81.03,75,60,17.25,broken clouds
39,Carnarvon,AU,-24.87,113.63,69.8,83,90,9.17,overcast clouds
40,Kununurra,AU,-15.77,128.73,82.4,69,43,2.24,scattered clouds
41,Goderich,CA,43.75,-81.72,37.4,55,49,10.29,scattered clouds
42,Yulara,AU,-25.24,130.99,75.2,17,61,11.41,broken clouds
43,Inta,RU,66.03,60.17,31.98,99,100,17.78,overcast clouds
44,Nikolskoye,RU,59.7,30.79,42.8,81,75,6.71,broken clouds
45,Bambous Virieux,MU,-20.34,57.76,69.8,68,40,13.87,shower rain
46,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,10.29,clear sky
47,Poum,NC,-20.23,164.02,77.32,81,76,23.26,light rain
48,Alofi,NU,-19.06,-169.92,75.2,88,97,14.99,overcast clouds
49,Mataura,NZ,-46.19,168.86,45.0,83,5,4.0,clear sky
50,Namatanai,PG,-3.67,152.43,80.2,78,100,4.99,overcast clouds
51,Coihaique,CL,-45.58,-72.07,60.8,51,0,2.84,clear sky
52,Puerto Ayacucho,VE,5.66,-67.62,79.63,87,99,3.56,light rain
53,Geraldton,AU,-28.77,114.6,68.0,77,40,10.29,scattered clouds
54,Petatlan,MX,17.52,-101.27,75.2,88,40,1.28,scattered clouds
55,Grenfell,AU,-33.9,148.17,50.81,93,67,3.11,broken clouds
56,Severo-Kurilsk,RU,50.68,156.12,41.31,84,100,26.35,light rain
57,Bluff,NZ,-46.6,168.33,45.0,83,53,4.0,broken clouds
58,Sassandra,CI,4.95,-6.08,83.08,73,38,7.54,scattered clouds
59,Atuona,PF,-9.8,-139.03,78.1,76,23,18.79,few clouds
60,Nanortalik,GL,60.14,-45.24,29.73,90,10,14.47,clear sky
61,Port Elizabeth,ZA,-33.92,25.57,69.8,56,0,9.17,clear sky
62,Bara,NG,10.37,10.73,96.8,25,34,12.75,scattered clouds
63,East London,ZA,-33.02,27.91,68.0,64,20,13.87,few clouds
64,Kavieng,PG,-2.57,150.8,83.1,75,95,9.33,overcast clouds
65,Catuday,PH,16.29,119.81,80.17,75,100,2.39,overcast clouds
66,Pathalgaon,IN,22.57,83.47,69.78,68,0,5.59,clear sky
67,Vaini,TO,-21.2,-175.2,73.4,83,75,11.41,broken clouds
68,Ballina,AU,-28.87,153.57,64.0,88,0,8.34,clear sky
69,New Norfolk,AU,-42.78,147.06,54.0,68,72,1.99,broken clouds
70,Bam,IR,29.11,58.36,58.41,29,0,3.56,clear sky
71,Rocha,UY,-34.48,-54.33,66.07,52,1,5.68,clear sky
72,Lompoc,US,34.64,-120.46,46.4,93,20,5.82,few clouds
73,Dukat,RU,62.55,155.55,10.89,96,100,5.82,overcast clouds
74,Beyla,GN,8.68,-8.63,86.11,44,4,6.89,clear sky
75,Raudeberg,NO,61.99,5.14,51.8,53,100,17.22,overcast clouds
76,Gizo,SB,-8.1,156.84,82.17,74,88,7.25,overcast clouds
77,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,20,5.82,few clouds
78,Newport,GB,51.59,-3.0,55.99,84,49,3.0,scattered clouds
79,Ostrovnoy,RU,68.05,39.51,27.19,95,3,12.06,clear sky
80,Madimba,TZ,-10.4,40.33,77.0,88,75,5.82,broken clouds
81,Jamestown,US,42.1,-79.24,37.0,80,90,4.7,overcast clouds
82,Bredasdorp,ZA,-34.53,20.04,66.2,52,0,13.87,clear sky
83,Kaitangata,NZ,-46.28,169.85,48.0,78,3,5.01,clear sky
84,Bayanday,RU,53.07,105.51,20.97,87,88,12.37,overcast clouds
85,Nicolas Bravo,MX,18.45,-88.92,77.0,88,90,5.82,overcast clouds
86,Cidreira,BR,-30.18,-50.21,67.57,59,88,8.95,overcast clouds
87,Minbu,MM,20.18,94.88,78.71,80,73,3.67,broken clouds
88,Esperance,AU,-33.87,121.9,71.6,60,40,10.29,scattered clouds
89,Lebyazhye,RU,55.27,66.49,35.06,87,81,12.86,broken clouds
90,Hofn,IS,64.25,-15.21,43.14,78,100,10.13,overcast clouds
91,Lebu,CL,-37.62,-73.65,61.61,64,16,8.9,few clouds
92,Okhotsk,RU,59.38,143.3,17.17,87,0,10.25,clear sky
93,Mankono,CI,8.06,-6.19,90.41,45,52,6.06,broken clouds
94,Pangody,RU,65.85,74.49,32.41,98,100,13.62,light rain
95,Pevek,RU,69.7,170.31,12.97,97,100,10.13,overcast clouds
96,Luderitz,NA,-26.65,15.16,72.52,41,17,28.79,few clouds
97,Provideniya,RU,64.38,-173.3,20.91,87,89,5.84,overcast clouds
98,Kingsland,US,30.8,-81.69,72.0,86,71,7.0,broken clouds
99,College,US,64.86,-147.8,10.99,84,90,2.19,light snow
100,Castro,BR,-24.79,-50.01,60.96,76,100,6.24,overcast clouds
101,Buala,SB,-8.14,159.59,79.88,75,68,1.9,broken clouds
102,Ribeira Grande,PT,38.52,-28.7,71.6,88,75,19.46,broken clouds
103,Hobart,AU,-42.88,147.33,53.6,81,90,6.93,overcast clouds
104,Mahebourg,MU,-20.41,57.7,69.8,68,40,13.87,shower rain
105,Ketchikan,US,55.34,-131.65,46.4,93,90,17.22,light rain
106,Ukiah,US,39.15,-123.21,52.0,75,1,2.66,clear sky
107,Hithadhoo,MV,-0.6,73.08,83.66,72,100,8.14,light rain
108,Kapaa,US,22.08,-159.32,69.8,88,1,8.05,clear sky
109,Cabo Rojo,PR,18.09,-67.15,88.0,67,88,5.01,overcast clouds
110,Arlit,NE,18.74,7.39,92.44,11,0,20.38,clear sky
111,Luwuk,ID,-0.95,122.79,78.28,69,99,4.38,overcast clouds
112,Pudozh,RU,61.81,36.53,31.86,96,0,2.35,clear sky
113,Brae,GB,60.4,-1.35,53.6,87,75,39.15,broken clouds
114,Canon City,US,38.44,-105.24,46.99,46,0,8.01,clear sky
115,Nabire,ID,-3.37,135.48,77.76,88,100,3.76,moderate rain
116,Mar Del Plata,AR,-38.0,-57.56,68.0,45,0,6.93,clear sky
117,Salalah,OM,17.02,54.09,86.0,30,0,4.7,clear sky
118,Coquimbo,CL,-29.95,-71.34,53.6,87,90,8.05,overcast clouds
119,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,83.28,68,86,10.83,overcast clouds
120,Ilanskiy,RU,56.24,96.06,19.0,86,19,2.48,few clouds
121,Upernavik,GL,72.79,-56.15,16.61,95,65,10.18,broken clouds
122,Tasiilaq,GL,65.61,-37.64,32.0,92,90,3.36,overcast clouds
123,Partyzany,UA,46.33,34.75,51.03,87,100,12.01,light rain
124,Zhanaozen,KZ,43.3,52.8,59.38,28,98,16.11,overcast clouds
125,Tiksi,RU,71.69,128.87,1.44,94,59,3.11,broken clouds
126,Cayenne,GF,4.93,-52.33,89.6,62,100,10.29,overcast clouds
127,Hailey,US,43.52,-114.32,33.8,47,5,6.93,clear sky
128,Shaowu,CN,27.34,117.48,62.06,75,32,0.89,light rain
129,Komsomolskiy,UZ,40.43,71.72,46.4,26,0,6.93,clear sky
130,Guerrero Negro,MX,27.98,-114.06,67.84,62,5,1.21,clear sky
131,Laguna,US,38.42,-121.42,44.6,81,1,2.37,clear sky
132,Cap-Aux-Meules,CA,47.38,-61.86,37.4,51,59,18.34,broken clouds
133,Ushtobe,KZ,45.25,77.98,43.03,60,0,11.97,clear sky
134,Tautira,PF,-17.73,-149.15,73.4,83,20,3.36,few clouds
135,Borazjan,IR,29.27,51.22,84.2,39,0,9.17,clear sky
